date,cpi,inflation
2017-01-01,129.5,2.1293375394321856
2017-02-01,129.7,2.0456333595594067
2017-03-01,129.9,1.5637216575449475
2017-04-01,130.4,1.636788776305531
2017-05-01,130.5,1.3198757763975166
2017-06-01,130.4,1.0069713400464808
2017-07-01,130.4,1.1636927851047307
2017-08-01,130.5,1.3986013986014179
2017-09-01,130.8,1.552795031055898
2017-10-01,130.9,1.3942680092951187
2017-11-01,131.3,2.0995334370140117
2017-12-01,130.8,1.869158878504673
2018-01-01,131.7,1.698841698841691
2018-02-01,132.5,2.1588280647648617
2018-03-01,132.9,2.3094688221708903
2018-04-01,133.3,2.223926380368102
2018-05-01,133.4,2.2222222222222365
2018-06-01,133.6,2.4539877300613355
2018-07-01,134.3,2.9907975460122804
2018-08-01,134.2,2.8352490421455823
2018-09-01,133.7,2.2171253822629744
2018-10-01,134.1,2.444614209320073
2018-11-01,133.5,1.6755521706016685
2018-12-01,133.4,1.9877675840978437
2019-01-01,133.6,1.4426727410782103
2019-02-01,134.5,1.5094339622641506
2019-03-01,135.4,1.8811136192625977
2019-04-01,136.0,2.025506376594133
2019-05-01,136.6,2.398800599700146
2019-06-01,136.3,2.020958083832358
2019-07-01,137.0,2.010424422933732
2019-08-01,136.8,1.9374068554396606
2019-09-01,136.2,1.8698578908002972
2019-10-01,136.6,1.8642803877703118
2019-11-01,136.4,2.1722846441947663
2019-12-01,136.4,2.2488755622188883
2020-01-01,136.8,2.3952095808383422
2020-02-01,137.4,2.1561338289962872
2020-03-01,136.6,0.8862629246676468
2020-04-01,135.7,-0.22058823529412797
2020-05-01,136.1,-0.36603221083455484
2020-06-01,137.2,0.6603081438004255
2020-07-01,137.2,0.14598540145984717
2020-08-01,137.0,0.14619883040933868
2020-09-01,136.9,0.5139500734214542
2020-10-01,137.5,0.6588579795022032
2020-11-01,137.7,0.9530791788856074
2020-12-01,137.4,0.7331378299120228
2021-01-01,138.2,1.0233918128654818
2021-02-01,138.9,1.091703056768556
2021-03-01,139.6,2.196193265007329
2021-04-01,140.3,3.3898305084745894
2021-05-01,141.0,3.6002939015429947
2021-06-01,141.4,3.061224489795933
2021-07-01,142.3,3.7172011661807725
2021-08-01,142.6,4.0875912408758985
2021-09-01,142.9,4.382761139517899
2021-10-01,143.9,4.654545454545467
2021-11-01,144.2,4.720406681191003
2021-12-01,144.0,4.8034934497816595
2022-01-01,145.3,5.137481910274988
2022-02-01,146.8,5.6875449964002955
2022-03-01,148.9,6.6618911174785245
2022-04-01,149.8,6.77120456165361
2022-05-01,151.9,7.730496453900715
2022-06-01,152.9,8.13295615275813
2022-07-01,153.1,7.589599437807437
2022-08-01,152.6,7.012622720897621
2022-09-01,152.7,6.857942617214818
2022-10-01,153.8,6.879777623349548
2022-11-01,154.0,6.796116504854388
2022-12-01,153.1,6.319444444444433
2023-01-01,153.9,5.918788713007572
2023-02-01,154.5,5.245231607629419
2023-03-01,155.3,4.298186702484896
2023-04-01,156.4,4.4058744993324295
2023-05-01,157.0,3.3574720210664877
2023-06-01,157.2,2.8122956180510084
2023-07-01,158.1,3.2658393207054104
2023-08-01,158.7,3.997378768020976
2023-09-01,158.5,3.7982973149967236
2023-10-01,158.6,3.1209362808842567
2023-11-01,158.8,3.116883116883118
2023-12-01,158.3,3.396472893533642
2024-01-01,158.3,2.8589993502274202
2024-02-01,158.8,2.783171521035599
2024-03-01,159.8,2.8976175144880933
2024-04-01,160.6,2.6854219948849067
2024-05-01,161.5,2.866242038216571
2024-06-01,161.4,2.6717557251908497
2024-07-01,162.1,2.5300442757748343
2024-08-01,161.8,1.953371140516702
2024-09-01,161.1,1.6403785488958933
2024-10-01,161.8,2.0176544766708826
2024-11-01,161.8,1.8891687657430767
2024-12-01,161.2,1.831964624131377
2025-01-01,161.3,1.8951358180669509
2025-02-01,163.0,2.644836272040285
2025-03-01,163.5,2.3153942428034924
2025-04-01,163.4,1.7434620174346271
2025-05-01,164.3,1.7337461300309664
2025-06-01,164.4,1.8587360594795488
2025-07-01,164.9,1.727328809376938
2025-08-01,164.8,1.8541409147095234
2025-09-01,164.9,2.358783364369965
2025-10-01,165.3,2.163164400494444
2025-11-01,165.4,2.224969097651419
2025-12-01,165.0,2.3573200992556
2026-01-01,165.0,2.293862368257904
2026-02-01,165.9,1.7791411042944905
2026-03-01,167.4,2.3853211009174258
2026-04-01,168.0,2.8151774785801775
2026-05-01,169.6,3.2258064516129004
2026-06-01,169.0,2.7980535279805263
2026-07-01,169.9,3.032140691328067
