date,usd_cad
2017-01-01,1.3192761904761905
2017-02-01,1.3107263157894737
2017-03-01,1.3386434782608696
2017-04-01,1.344021052631579
2017-05-01,1.3607045454545454
2017-06-01,1.3298045454545455
2017-07-01,1.268875
2017-08-01,1.2604772727272726
2017-09-01,1.22828
2017-10-01,1.2604619047619048
2017-11-01,1.2768857142857142
2017-12-01,1.2770526315789474
2018-01-01,1.242740909090909
2018-02-01,1.2586210526315789
2018-03-01,1.2931714285714286
2018-04-01,1.2732571428571429
2018-05-01,1.2873272727272729
2018-06-01,1.312857142857143
2018-07-01,1.3130095238095238
2018-08-01,1.3041181818181817
2018-09-01,1.3036526315789474
2018-10-01,1.3009545454545455
2018-11-01,1.3200380952380952
2018-12-01,1.3431842105263159
2019-01-01,1.3301
2019-02-01,1.320557894736842
2019-03-01,1.3368190476190476
2019-04-01,1.3377714285714286
2019-05-01,1.3459045454545455
2019-06-01,1.32873
2019-07-01,1.3101045454545455
2019-08-01,1.327747619047619
2019-09-01,1.3240500000000002
2019-10-01,1.3189772727272728
2019-11-01,1.32388
2019-12-01,1.31717
2020-01-01,1.3086727272727272
2020-02-01,1.3285842105263157
2020-03-01,1.3952499999999999
2020-04-01,1.4057857142857142
2020-05-01,1.39697
2020-06-01,1.3550318181818182
2020-07-01,1.34985
2020-08-01,1.3222049999999999
2020-09-01,1.3228095238095239
2020-10-01,1.3214714285714286
2020-11-01,1.3068199999999999
2020-12-01,1.2807714285714287
2021-01-01,1.272405
2021-02-01,1.269857894736842
2021-03-01,1.2573739130434782
2021-04-01,1.2495904761904761
2021-05-01,1.212645
2021-06-01,1.2218636363636364
2021-07-01,1.2528809523809525
2021-08-01,1.2603190476190476
2021-09-01,1.267125
2021-10-01,1.243685
2021-11-01,1.2569809523809523
2021-12-01,1.2794142857142856
2022-01-01,1.26155
2022-02-01,1.2715842105263158
2022-03-01,1.265786956521739
2022-04-01,1.2628
2022-05-01,1.2852285714285714
2022-06-01,1.2813636363636365
2022-07-01,1.29423
2022-08-01,1.2921681818181818
2022-09-01,1.331855
2022-10-01,1.36995
2022-11-01,1.344857142857143
2022-12-01,1.3591900000000001
2023-01-01,1.3421666666666667
2023-02-01,1.3450263157894735
2023-03-01,1.3682130434782607
2023-04-01,1.3485052631578949
2023-05-01,1.3520136363636364
2023-06-01,1.3287818181818183
2023-07-01,1.32146
2023-08-01,1.3485363636363636
2023-09-01,1.35349
2023-10-01,1.371675
2023-11-01,1.370942857142857
2023-12-01,1.3430894736842105
2024-01-01,1.34245
2024-02-01,1.35008
2024-03-01,1.353945
2024-04-01,1.3673772727272728
2024-05-01,1.3670363636363636
2024-06-01,1.370685
2024-07-01,1.3711818181818183
2024-08-01,1.3651619047619046
2024-09-01,1.354621052631579
2024-10-01,1.3754863636363637
2024-11-01,1.397485
2024-12-01,1.424045
2025-01-01,1.4389727272727273
2025-02-01,1.4301105263157894
2025-03-01,1.4358904761904763
2025-04-01,1.3988285714285713
2025-05-01,1.3860095238095238
2025-06-01,1.3673714285714287
2025-07-01,1.3691045454545454
2025-08-01,1.3801999999999999
2025-09-01,1.383315
2025-10-01,1.3992
2025-11-01,1.4055263157894735
2025-12-01,1.380247619047619
2026-01-01,1.3778190476190477
2026-02-01,1.3650736842105262
2026-03-01,1.3717090909090908
2026-04-01,1.375057142857143
2026-05-01,1.372305
2026-06-01,1.4040227272727273
2026-07-01,1.4107136363636363
2026-08-01,1.3953200000000001
